Date,TemperatureRessentie
2024-11-09,35.77
2024-11-09,32.65
2024-11-10,32.0
2024-11-10,34.34
2024-11-10,34.61
2024-11-10,31.72
2024-11-10,31.79
2024-11-10,34.93
2024-11-10,38.47
2024-11-10,45.8
2024-11-10,49.01
2024-11-10,48.46
2024-11-10,46.48
2024-11-10,45.92
2024-11-10,46.49
2024-11-10,46.7
2024-11-10,43.18
2024-11-10,40.89
2024-11-10,43.39
2024-11-10,40.75
2024-11-10,34.51
2024-11-10,31.07
2024-11-10,31.41
2024-11-10,36.27
2024-11-10,36.33
2024-11-10,36.35
2024-11-11,36.06
2024-11-11,35.75
2024-11-11,36.01
2024-11-11,36.31
2024-11-11,34.74
2024-11-11,34.55
2024-11-11,38.28
2024-11-11,41.2
2024-11-11,49.4
2024-11-11,52.73
2024-11-11,49.33
2024-11-11,47.86
2024-11-11,46.7
2024-11-11,44.86
2024-11-11,41.89
2024-11-11,39.83
2024-11-11,39.02
2024-11-11,35.59
2024-11-11,32.2
2024-11-11,35.11
2024-11-11,36.09
2024-11-11,36.08
2024-11-11,36.09
2024-11-11,34.84
2024-11-12,34.56
2024-11-12,34.61
2024-11-12,33.62
2024-11-12,34.02
2024-11-12,35.37
2024-11-12,36.27
2024-11-12,35.68
2024-11-12,37.12
2024-11-12,41.92
2024-11-12,42.55
2024-11-12,39.55
2024-11-12,39.53
2024-11-12,39.66
2024-11-12,37.87
2024-11-12,35.23
2024-11-12,32.7
2024-11-12,29.59
2024-11-12,24.41
2024-11-12,16.66
2024-11-12,13.55
2024-11-12,16.78
2024-11-12,21.23
2024-11-12,25.41
2024-11-12,30.91
2024-11-13,32.74
2024-11-13,34.37
2024-11-13,35.5
2024-11-13,32.36
2024-11-13,31.18
2024-11-13,30.66
2024-11-13,30.24
2024-11-13,41.34
2024-11-13,50.26
2024-11-13,48.56
2024-11-13,43.3
2024-11-13,40.77
2024-11-13,40.17
2024-11-13,38.47
2024-11-13,33.21
2024-11-13,27.18
2024-11-13,28.41
2024-11-13,34.76
2024-11-13,36.71
2024-11-13,35.29
2024-11-13,35.39
2024-11-13,36.22
2024-11-13,35.99
2024-11-13,35.93
2024-11-14,34.48
2024-11-14,31.98
2024-11-14,32.38
2024-11-14,34.42
2024-11-14,31.68
2024-11-14,32.41
2024-11-14,39.55
2024-11-14,47.32
2024-11-14,53.95
2024-11-14,52.73
2024-11-14,47.73
